date	resort	author	article	article-cicker	workload-index	
01.01.2020 11:16:00	panorama	red	Zwei Schwerverletzte durch Böller in Wien	Feuerwerkskörper	5326
01.01.2020 09:00:00	panorama	Sandra Weiss aus Buenos Aires	Die Bücherdetektive von Buenos Aires	Spurensucher	10838
01.01.2020 18:07:00	kultur	Ljubisa Tosic	Neujahrskonzert: Mit Nelsons klatschend ins neue Jahr	Philharmoniker	11851
01.01.2020 16:00:00	kultur	Stephan Hilpold	"Der nackte Wahnsinn" am Burgtheater: Herrlicher Theaterkracher	Theaterkritik	12554
01.01.2020 15:22:00	kultur	Katharina Stöger	Bisschen die Welt verändern: "Ein Papa für alle"	Filmkritik	6252
01.01.2020 13:16:00	kultur	APA	Riccardo Muti wird das Neujahrskonzert 2021 dirigieren	Neujahrskonzert	7605
01.01.2020 10:00:00	kultur	INTERVIEW: Stefan Weiss	Von Snowden bis Thunberg: Wozu brauchen wir noch Helden?	Helden des Jahrzehnts	24728
01.01.2020 09:22:00	kultur	Ronald Pohl	Ein neuer Radetzkymarsch ohne NS-Schmiss	Kopf des Tages	7148
01.01.2020 08:00:00	kultur	Eric Frey	Ist die Katastrophe gewiss? Was uns das 20. Jahrhundert für die Zukunft lehrt	Geschichte	26676
01.01.2020 18:14:00	etat	APA/dpa	Wiener Ex-"Venusfalle" Sonja Kirchberger zieht ins Dschungelcamp	Fernsehen	4493
01.01.2020 16:56:00	etat	Karin Bauer	Deep Dive in der Klischeekiste: "El Club" und "Elite" auf Netflix	TV-Tagebuch	3917
01.01.2020 16:13:00	etat	red	Journalist Richard Gutjahr verlässt BR und kritisiert Führungsspitze	Hass-Botschaften	7694
01.01.2020 06:00:00	etat	Doris Priesching	Neujahrskonzert, Neujahrsansprache, Neujahrsspringen: TV-Tipps für den Neujahrstag	Switchlist	9955
01.01.2020 17:29:00	wissenschaft	jdo	Menschen mit Neandertaler-Anteil wanderten aus Europa aus	Aurignacien-Kultur	10369
01.01.2020 08:00:00	wissenschaft	jdo	Würden Sie sich von einem Roboter provozieren lassen?	Trash-talk	9824
01.01.2020 10:30:00	wissenschaft	red	Rekord-Astronautin übernimmt Spitzenposition bei ESA und startet 2022 erneut ins All	Aufstieg	7250
01.01.2020 09:30:00	wissenschaft	red	Russland: 2019 war heißestes Jahr seit Beginn der Aufzeichnungen	Temperaturen steigen weiter	12128
01.01.2020 10:30:00	wissenschaft	APA	Rekord-Astronautin übernimmt Spitzenposition bei ESA und startet 2022 erneut ins All	Aufstieg	7250
01.01.2020 09:30:00	wissenschaft	APA	Russland: 2019 war heißestes Jahr seit Beginn der Aufzeichnungen	Temperaturen steigen weiter	12128
02.01.2020 20:19:00	international	APA	Katalanische ERC-Separatisten ermöglichen Pedro Sanchez´ Wiederwahl	Spanien	6005
02.01.2020 18:24:00	international	APA	Türkei erlaubt Truppenentsendung nach Libyen	Türkei	10573
